INEX_LD-2009111	europe solar power facility	<dbpedia:Solar_power_by_country>
INEX_LD-2010043	List of films from the surrealist category	<dbpedia:Santa_Sangre>
INEX_LD-2010057	Einstein Relativity theory	<dbpedia:Erich_Kretschmann>
INEX_LD-2010069	summer flowers	<dbpedia:Lilium_candidum>
INEX_LD-20120112	vietnam war facts	<dbpedia:Military_history_of_Australia_during_the_Vietnam_War>
INEX_LD-20120121	vietnam food recipes	<dbpedia:Prawn_cracker>
INEX_LD-20120122	vietnamese food blog	<dbpedia:Cold_Food_Festival>
INEX_LD-20120132	vietnam travel airports	<dbpedia:Noi_Bai_International_Airport>
INEX_LD-20120222	guitar classical bach	<dbpedia:Sophocles_Papas>
INEX_LD-20120311	tango culture movies	<dbpedia:Rodolfo_Biagi>
INEX_LD-20120312	tango culture countries	<dbpedia:In-tango>
INEX_LD-20120332	tango dance history	<dbpedia:Tango>
INEX_LD-20120422	bicycle holiday nature	<dbpedia:Ned_Brown_Forest_Preserve>
INEX_LD-20120531	music conferences	<dbpedia:International_Computer_Music_Conference>
INEX_LD-2012301	Niagara falls origin lake	<dbpedia:Niagara_Parkway>
INEX_LD-2012315	Baguio Quezon City Manila official independence 1945	<dbpedia:Second_Philippine_Republic>
INEX_LD-2012318	Directed Bela Glen Glenda Bride Monster Plan 9 Outer Space	<dbpedia:Bride_of_the_Monster>
INEX_LD-2012319	1994 short story collection Alice Munro is Open	<dbpedia:Lives_of_Girls_and_Women>
INEX_LD-2012339	Nelson Mandela John Dube	<dbpedia:Nelson_Mandela>
INEX_LD-2012349	Alexander Nevsky Cathedral Bulgarian city liberation Turks	<dbpedia:Alexander_Nevsky_Cathedral,_Sofia>
INEX_LD-2012355	England football player highest paid	<dbpedia:Danny_Care>
INEX_LD-2012361	most famous award winning actor singer	<dbpedia:Yaza_Ne_Win>
INEX_LD-2012371	most beautiful railway stations world cities located	<dbpedia:Parappanangadi>
INEX_LD-2012383	famous computer scientists disappeared at sea	<dbpedia:Jim_Gray_(computer_scientist)>
INEX_LD-2012389	frequently visited sharks gulf Indian Ocean	<dbpedia:Gulf_of_Mannar>
